Investigation.Type,Event.Date,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Fatality
Accident,2006-01-08,Non-Fatal,Substantial,Airplane,Piper,Seneca,2.0,Reciprocating,Instructional,0,,2.0,2.0,VMC,0
Accident,2006-01-08,Non-Fatal,Substantial,Airplane,Cessna,T206H,1.0,Reciprocating,Public Aircraft - State,0,,,4.0,VMC,0
Accident,2006-01-09,Non-Fatal,Substantial,Airplane,Bellanca,7KCAB,1.0,Reciprocating,Instructional,0,,1.0,,VMC,0
Accident,2006-01-10,Non-Fatal,Substantial,Airplane,Huntington,KIS,1.0,Reciprocating,Flight Test,0,1.0,,,VMC,0
Accident,2006-01-10,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-01-10,Non-Fatal,Substantial,Airplane,Univar,Ercoupe,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-11,Non-Fatal,Substantial,Airplane,Labarre,Hatz CB1,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-12,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0,,,4.0,VMC,0
Accident,2006-01-14,Non-Fatal,Substantial,Airplane,Aviat,A1-A,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-14,Non-Fatal,Substantial,Airplane,Cessna,120,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-14,Non-Fatal,Minor,Airplane,Quicksilver,MX II Sprint,1.0,Reciprocating,Personal,0,1.0,1.0,,VMC,0
Accident,2006-01-15,Non-Fatal,Substantial,Airplane,Cessna,310Q,2.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-01-17,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-20,Non-Fatal,Substantial,Airplane,Cessna,305A,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-01-20,Non-Fatal,Substantial,Airplane,Piper,PA-46/Jetprop,1.0,Turbo Prop,Personal,0,,,1.0,VMC,0
Accident,2006-01-20,Non-Fatal,Substantial,Airplane,Pietenpol,Aircamper,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-01-21,Non-Fatal,Substantial,Airplane,Cessna,R182,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-01-21,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Instructional,0,2.0,,,VMC,0
Accident,2006-01-21,Non-Fatal,Substantial,Airplane,Beech,BE-76,2.0,Reciprocating,Personal,0,1.0,,,VMC,0
Accident,2006-01-22,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-01-22,Non-Fatal,Destroyed,Airplane,Cirrus Design Corp.,SR22,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-01-23,Total.Fatal.Injuries,Substantial,Airplane,Villarubia,RV-6,1.0,Reciprocating,Personal,1,,,,VMC,1
Accident,2006-01-24,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-01-24,Total.Fatal.Injuries,Destroyed,Airplane,Cessna,560,2.0,Turbo Fan,Executive/corporate,4,,,,VMC,4
Accident,2006-01-27,Non-Fatal,Substantial,Airplane,Piper,J5,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-29,Non-Fatal,Substantial,Airplane,Cessna,A185F,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-01-29,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-01-29,Non-Fatal,Substantial,Airplane,Maule,M-7-260C,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-30,Non-Fatal,Substantial,Airplane,Cessna,A185E,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-01-30,Non-Fatal,Substantial,Airplane,Pergerson,Highlander,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-01-30,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Public Aircraft,0,,,2.0,VMC,0
Accident,2006-02-01,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Positioning,0,,,1.0,VMC,0
Accident,2006-02-01,Non-Fatal,Substantial,Airplane,Cessna,T210N,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-01,Non-Fatal,Substantial,Airplane,Piper,PA-31-350,2.0,Reciprocating,Executive/corporate,0,,,1.0,VMC,0
Incident,2006-02-01,Non-Fatal,Minor,Airplane,Boeing,747,,Turbo Fan,Nill,0,,,,Nill,0
Accident,2006-02-02,Non-Fatal,Substantial,Airplane,Wsk-pzl Warzawaokecie,PZL-104 WILGA 80,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-02-04,Non-Fatal,Substantial,Airplane,Socata,TBM 700,1.0,Turbo Prop,Personal,0,,,4.0,VMC,0
Accident,2006-02-04,Non-Fatal,Destroyed,Airplane,Cessna,182,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-05,Non-Fatal,Substantial,Airplane,Cessna,208 Caravan,1.0,Turbo Prop,Nill,0,,,,Nill,0
Accident,2006-02-05,Non-Fatal,Substantial,Airplane,Ralph Sanders,Murphy Acft Elite,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-11,Non-Fatal,Substantial,Airplane,Ercoupe,415-C,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-11,Non-Fatal,Substantial,Airplane,Cessna,180J,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-12,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-02-13,Non-Fatal,Substantial,Airplane,Kenetic Aviation,Mountain Goat,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-02-14,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-02-15,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-02-16,Non-Fatal,Substantial,Airplane,Beech,95,2.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-02-16,Non-Fatal,Substantial,Airplane,Mooney,M20F,1.0,Reciprocating,Personal,0,2.0,2.0,,VMC,0
Accident,2006-02-16,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-02-17,Non-Fatal,Substantial,Airplane,Cessna,177,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-20,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-02-22,Non-Fatal,Substantial,Airplane,Wheeler,Pitts Special,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-02-23,Non-Fatal,Substantial,Airplane,Cessna,150L,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-02-23,Non-Fatal,Substantial,Airplane,Cessna,172L,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-02-24,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Personal,0,2.0,,,VMC,0
Accident,2006-02-25,Non-Fatal,Substantial,Airplane,Cessna,172P,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-02-26,Non-Fatal,Substantial,Airplane,Cessna,180H,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-01,Non-Fatal,Substantial,Airplane,Beech,G35,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-03,Non-Fatal,Substantial,Airplane,Beech,V35B,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-04,Non-Fatal,Substantial,Airplane,Piper,PA-18A,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-04,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Banner Tow,0,,,1.0,VMC,0
Accident,2006-03-04,Non-Fatal,Substantial,Airplane,Grumman-schweizer,G-164B,1.0,Reciprocating,Aerial Application,0,,1.0,,VMC,0
Accident,2006-03-04,Non-Fatal,Substantial,Airplane,Cessna,182C,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-04,Non-Fatal,Destroyed,Airplane,Balkema,STOL Aircraft,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-05,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-05,Non-Fatal,Substantial,Airplane,Champion,7GCB,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-06,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-07,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Instructional,0,,2.0,,VMC,0
Accident,2006-03-07,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-08,Non-Fatal,Substantial,Airplane,Boeing,D75N1,1.0,Reciprocating,Personal,0,,2.0,,VMC,0
Accident,2006-03-09,Non-Fatal,Substantial,Airplane,Cirrus,SR22,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-10,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-15,Non-Fatal,Substantial,Airplane,Cessna,182,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-03-15,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-15,Non-Fatal,Substantial,Airplane,Stinson,108-1,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-16,Non-Fatal,Substantial,Airplane,Cessna,182D,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-16,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-03-17,Non-Fatal,Substantial,Airplane,Cessna,182G,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-03-20,Non-Fatal,Substantial,Airplane,Piper,PA23-250,2.0,Reciprocating,Positioning,0,1.0,,,VMC,0
Accident,2006-03-20,Non-Fatal,Substantial,Airplane,Aero Commander,AC50,2.0,Reciprocating,Nill,0,,,1.0,IMC,0
Accident,2006-03-21,Non-Fatal,Substantial,Airplane,Cessna,172RG,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Incident,2006-03-21,Non-Fatal,Minor,Airplane,Mcdonnell Douglas,DC-9-82,2.0,Turbo Fan,Nill,0,,,138.0,VMC,0
Accident,2006-03-24,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-25,Non-Fatal,Substantial,Airplane,Cessna,180F,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-25,Non-Fatal,Substantial,Airplane,Piper,38-112,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-25,Non-Fatal,Substantial,Airplane,American Champion,7GCBC,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-26,Non-Fatal,Substantial,Airplane,Piper,PA32-301,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-26,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-03-26,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-26,Non-Fatal,Destroyed,Airplane,"Waterwings, Inc",SeaRey,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-27,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-27,Non-Fatal,Substantial,Airplane,Piper,PA-38-112,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-28,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-03-29,Non-Fatal,Substantial,Airplane,Cessna,140,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-29,Non-Fatal,Destroyed,Airplane,Martin,RANS S-7 COURIER,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-30,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-03-30,Non-Fatal,Substantial,Airplane,Piper,PA-31-310,2.0,Reciprocating,Public Aircraft,0,,,4.0,VMC,0
Accident,2006-03-30,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-03-30,Non-Fatal,Substantial,Airplane,Grumman-schweizer,G-164A,1.0,Reciprocating,Aerial Application,0,,,1.0,VMC,0
Accident,2006-03-31,Non-Fatal,Substantial,Airplane,Aviat,A-1B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-03-31,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-03-31,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Positioning,0,,,1.0,VMC,0
Accident,2006-04-02,Non-Fatal,Substantial,Airplane,Taylorcraft,BC12-D,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-02,Non-Fatal,Substantial,Airplane,Cessna,310N,2.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-02,Non-Fatal,Substantial,Airplane,Cessna,T210H,1.0,Reciprocating,Personal,0,,2.0,,VMC,0
Accident,2006-04-02,Non-Fatal,Substantial,Airplane,Piper,PA-32-301,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-04,Non-Fatal,Substantial,Airplane,Mcdonnell Douglas,DC10,3.0,Turbo Fan,Nill,0,,,3.0,VMC,0
Accident,2006-04-05,Non-Fatal,Substantial,Airplane,Mooney,M20R,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-05,Non-Fatal,Substantial,Airplane,Cessna,170A,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-05,Non-Fatal,Substantial,Airplane,Waco,EQC-6,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-06,Non-Fatal,Substantial,Airplane,Cessna,172-P,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-06,Non-Fatal,Substantial,Airplane,Woolley John A,Lancair 320,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-06,Non-Fatal,Substantial,Airplane,Aero Commander,100,1.0,Reciprocating,Personal,0,,2.0,,VMC,0
Accident,2006-04-06,Non-Fatal,Substantial,Airplane,Cessna,172,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-07,Non-Fatal,Substantial,Airplane,Cub Crafters,CC18-180,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-07,Non-Fatal,Substantial,Airplane,Cessna,172M,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-04-07,Non-Fatal,Substantial,Airplane,Cessna,C170A,1.0,Reciprocating,Personal,0,,,3.0,VMC,0
Accident,2006-04-07,Non-Fatal,Substantial,Airplane,Piper,PA-28-140,1.0,Reciprocating,Personal,0,,3.0,,VMC,0
Accident,2006-04-07,Non-Fatal,Substantial,Airplane,Flight Design Gmbh,CTSW,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-08,Non-Fatal,Substantial,Airplane,Linwood R. Lawrence,Van's Aircraft RV-9A,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-08,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-08,Non-Fatal,Substantial,Airplane,Cessna,195,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-09,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-09,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-09,Non-Fatal,Substantial,Airplane,Cessna,150,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-10,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-10,Non-Fatal,Substantial,Airplane,Cessna,182 RG,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-10,Non-Fatal,Substantial,Airplane,Cessna,C-172S,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-11,Non-Fatal,Substantial,Airplane,Piper,PA-28-161,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-11,Non-Fatal,Substantial,Airplane,Air Tractor,AT-602,1.0,Turbo Prop,Aerial Application,0,,1.0,,VMC,0
Accident,2006-04-12,Non-Fatal,Substantial,Airplane,Cessna,310K,,Reciprocating,Personal,0,,,4.0,VMC,0
Accident,2006-04-12,Non-Fatal,Substantial,Airplane,Air Tractor,502A,1.0,Turbo Prop,Aerial Application,0,,,1.0,VMC,0
Accident,2006-04-12,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-12,Non-Fatal,Substantial,Airplane,Cessna,L-19,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-04-12,Non-Fatal,Substantial,Airplane,Cessna,0-1A,1.0,Reciprocating,Public Aircraft,0,,,2.0,VMC,0
Incident,2006-04-12,Non-Fatal,Minor,Airplane,Cessna,170A,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-13,Non-Fatal,Substantial,Airplane,Lee,SQ 2000,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-15,Non-Fatal,Substantial,Airplane,Cessna,310Q,2.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-15,Non-Fatal,Substantial,Airplane,Aeronca,7AC,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-15,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-16,Non-Fatal,Substantial,Airplane,Piper,PA-22,1.0,Reciprocating,Personal,0,,,4.0,VMC,0
Accident,2006-04-16,Non-Fatal,Substantial,Airplane,Parks,RV-7,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-16,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-16,Non-Fatal,Substantial,Airplane,Cessna,172 M,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-17,Non-Fatal,Substantial,Airplane,Piper,PA-18,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-18,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-18,Non-Fatal,Substantial,Airplane,Cessna,177B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Cessna,310R,2.0,Reciprocating,Nill,0,,,3.0,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Cubcrafters,CC-18-180,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Marland E Davis,RV-6A,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-19,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-19,Non-Fatal,Nill,Airplane,Boeing,777,,Nill,Nill,0,1.0,4.0,232.0,Nill,0
Accident,2006-04-21,Non-Fatal,Substantial,Airplane,Pitrolo,GL-25,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-21,Non-Fatal,Substantial,Airplane,Cessna,T210L,1.0,Reciprocating,Personal,0,,,1.0,IMC,0
Accident,2006-04-22,Non-Fatal,Substantial,Airplane,Zenair,CH 2000,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-22,Non-Fatal,Substantial,Airplane,Cessna,172 S,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-22,Non-Fatal,Substantial,Airplane,Aviat,A-1B,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-22,Non-Fatal,Substantial,Airplane,Cessna,172E,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-23,Non-Fatal,Substantial,Airplane,Maule,M-5-210C,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-23,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-23,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Instructional,0,,,3.0,VMC,0
Accident,2006-04-23,Non-Fatal,Destroyed,Airplane,Grumman American,AA-1C,1.0,Reciprocating,Personal,0,,2.0,,VMC,0
Accident,2006-04-24,Non-Fatal,Substantial,Airplane,Beech,P-35,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-25,Non-Fatal,Substantial,Airplane,Lake,LA-4-200,1.0,Reciprocating,Personal,0,,2.0,,VMC,0
Accident,2006-04-25,Non-Fatal,Substantial,Airplane,General Atomics,PREDATOR B,1.0,Turbo Prop,Aerial Observation,0,,,1.0,VMC,0
Accident,2006-04-26,Non-Fatal,Substantial,Airplane,Ely,Kitfox III,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-26,Non-Fatal,Substantial,Airplane,Schmidt,RV7A,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-27,Non-Fatal,Substantial,Airplane,Potts,MA-5,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-04-27,Non-Fatal,Substantial,Airplane,M.c. Thomas,Thorpe T-18,1.0,Reciprocating,Instructional,0,,2.0,,VMC,0
Accident,2006-04-28,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-28,Non-Fatal,Substantial,Airplane,Howard Aircraft Corp.,DGA-15P,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-28,Non-Fatal,Substantial,Airplane,Cirrus,SR-20,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-28,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-28,Non-Fatal,Substantial,Airplane,Cessna,182T,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-04-28,Non-Fatal,Destroyed,Airplane,Grumman-schweizer,G-164B,1.0,Turbo Prop,Aerial Application,0,,1.0,,VMC,0
Accident,2006-04-29,Non-Fatal,Substantial,Airplane,Beech,C24R,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-04-30,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-30,Non-Fatal,Substantial,Airplane,Cessna,172S,1.0,Reciprocating,Personal,0,,,2.0,VMC,0
Accident,2006-04-30,Non-Fatal,Substantial,Airplane,Piper,PA-44-180,2.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-04-30,Non-Fatal,Substantial,Airplane,Heliotech,H-250,1.0,Reciprocating,Personal,0,,1.0,1.0,VMC,0
Accident,2006-05-01,Non-Fatal,Substantial,Airplane,Cessna,172N,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-02,Non-Fatal,Substantial,Airplane,Cessna,172D,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-05-02,Non-Fatal,Substantial,Airplane,Cessna,182L,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-05-03,Non-Fatal,Substantial,Airplane,Cessna,A188B,1.0,Reciprocating,Aerial Observation,0,,,1.0,VMC,0
Accident,2006-05-03,Non-Fatal,Substantial,Airplane,Piper,PA-28-181,1.0,Reciprocating,Personal,0,,1.0,,VMC,0
Accident,2006-05-03,Non-Fatal,Substantial,Airplane,Piper,PA-22-150,1.0,Reciprocating,Instructional,0,,,2.0,VMC,0
Accident,2006-05-03,Total.Fatal.Injuries,Destroyed,Airplane,Airbus,A320,2.0,Turbo Fan,Nill,113,,,,IMC,113
Accident,2006-05-04,Non-Fatal,Substantial,Airplane,Murphy Aircraft,Renegade,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-04,Non-Fatal,Substantial,Airplane,Indus Aviation,T211,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-04,Non-Fatal,Substantial,Airplane,Bangham,Barracuda,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-05,Non-Fatal,Substantial,Airplane,Rupp,Rutan Defiant,2.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-05,Non-Fatal,Substantial,Airplane,Cessna,182F,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-05,Non-Fatal,Substantial,Airplane,Piper,PA-28-180,1.0,Reciprocating,Personal,0,,3.0,,VMC,0
Accident,2006-05-05,Non-Fatal,Substantial,Airplane,Beech,BE23,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-05,Non-Fatal,Substantial,Airplane,Cessna,C172S,1.0,Reciprocating,Instructional,0,,,1.0,VMC,0
Accident,2006-05-06,Non-Fatal,Substantial,Airplane,Cessna,152,1.0,Reciprocating,Personal,0,1.0,,,VMC,0
Accident,2006-05-06,Non-Fatal,Substantial,Airplane,Cessna,150G,1.0,Reciprocating,Personal,0,,,1.0,VMC,0
Accident,2006-05-07,Non-Fatal,Substantial,Airplane,Quicksilver,GT-400,1.0,Reciprocating,Personal,0,1.0,,,VMC,0
Accident,2006-05-07,Non-Fatal,Substantial,Airplane,Piper,PA-18-150,1.0,Reciprocating,Business,0,,,1.0,VMC,0
